,scores,steps
504,-10,39496
505,-10,39551
506,-10,39685
507,-10,39831
508,100,39922
509,-10,40007
510,-10,40086
511,-10,40169
512,-10,40276
513,-10,40319
514,-10,40411
515,100,40489
516,-10,40739
517,100,40785
518,-10,40903
519,-10,40981
520,-10,41063
521,100,41133
522,-10,41215
523,-10,41268
524,100,41336
525,100,41384
526,100,41406
527,-10,41447
528,-10,41506
529,-10,41556
530,-10,41632
531,-10,41771
532,-10,41854
533,-10,41923
534,-10,42016
535,-10,42091
536,-10,42136
537,-10,42181
538,-10,42378
539,-10,42466
540,-10,42505
541,-10,42555
542,-10,42599
543,-10,42639
544,-10,42726
545,-10,42822
546,-10,42943
547,-10,42985
548,-10,43060
549,-10,43113
550,-10,43155
551,-10,43239
552,-10,43285
553,100,43349
554,100,43469
555,-10,43584
556,-10,43682
557,-10,43761
558,100,43809
559,-10,43905
560,-10,43996
561,-10,44046
562,100,44047
563,-10,44177
564,-10,44213
565,100,44216
566,-10,44255
567,-10,44329
568,-10,44368
569,-10,44408
570,-10,44498
571,-10,44541
572,-10,44629
573,-10,44705
574,-10,44796
575,-10,44918
576,100,44959
577,100,45026
578,-10,45148
579,-10,45271
580,-10,45314
581,-10,45363
582,-10,45433
583,-10,45470
584,-10,45547
585,100,45608
586,-10,45643
587,-10,45722
588,-10,45817
589,-10,45910
590,-10,45961
591,-10,46083
592,-10,46129
593,-10,46174
594,-10,46285
595,-10,46330
596,100,46331
597,-10,46379
598,-10,46441
599,-10,46483
600,-10,46529
601,-10,46608
602,-10,46658
603,-10,46711
604,-10,46760
605,-10,46815
606,-10,46856
607,-10,46933
608,-10,46973
609,-10,47050
610,-10,47238
611,-10,47285
612,-10,47338
613,-10,47587
614,100,47644
615,-10,47757
616,-10,47906
617,-10,47952
618,-10,48040
619,-10,48139
620,-10,48182
621,-10,48220
622,-10,48327
623,-10,48383
624,-10,48423
625,-10,48468
626,-10,48557
627,-10,48601
628,-10,48649
629,-10,48774
630,100,48813
631,-10,48864
632,-10,48912
633,-10,49025
634,-10,49080
635,-10,49115
636,-10,49166
637,-10,49217
638,-10,49313
639,-10,49368
640,-10,49451
641,-10,49498
642,100,49514
643,-10,49564
644,100,49603
645,-10,49833
646,-10,49865
647,-10,49901
648,-10,49939
649,-10,50004
650,100,50064
651,100,50211
652,100,50257
653,-10,50337
654,-10,50385
655,-10,50433
656,100,50477
657,-10,50521
658,-10,50582
659,-10,50627
660,-10,50669
661,-10,50788
662,100,50805
663,100,50951
664,-10,51003
665,-10,51062
666,-10,51110
667,-10,51159
668,-10,51409
669,100,51431
670,-10,51482
671,-10,51533
672,-10,51582
673,-10,51628
674,-10,51738
675,-10,51821
676,-10,51867
677,100,51910
678,-10,52027
679,-10,52077
680,-10,52142
681,-10,52392
