,scores,steps
600,-10,10442
601,-10,10451
602,100,10455
603,100,10459
604,-10,10468
605,100,10474
606,100,10478
607,100,10482
608,100,10504
609,100,10508
610,100,10521
611,100,10524
612,-10,10530
613,-10,10548
614,100,10554
615,100,10582
616,-10,10617
617,-10,10637
618,-10,10664
619,-10,10689
620,-10,10696
621,-10,10706
622,-10,10730
623,-10,10765
624,100,10768
625,100,10784
626,100,10793
627,-10,10807
628,-10,10838
629,100,10842
630,-10,10862
631,100,10868
632,-10,10888
633,-10,10899
634,-10,10904
635,100,10907
636,-10,10915
637,100,10928
638,100,10932
639,-10,10940
640,100,10943
641,100,10947
642,100,10962
643,100,10966
644,-10,10978
645,-10,10986
646,100,11006
647,100,11014
648,100,11018
649,-10,11050
650,-10,11056
651,100,11068
652,100,11085
653,100,11089
654,100,11096
655,-10,11118
656,-10,11127
657,-10,11134
658,-10,11146
659,-10,11158
660,100,11162
661,-10,11176
662,-10,11185
663,-10,11190
664,-10,11200
665,100,11205
666,-10,11222
667,-10,11231
668,-10,11237
669,100,11241
670,-10,11247
671,100,11256
672,-10,11263
673,100,11276
674,-10,11284
675,100,11287
676,-10,11306
677,-10,11322
678,100,11339
679,-10,11348
680,100,11352
681,100,11371
682,100,11384
683,100,11390
684,-10,11401
685,100,11404
686,-10,11440
687,100,11443
688,-10,11456
689,100,11459
690,100,11462
691,100,11473
692,100,11477
693,100,11483
694,-10,11490
695,100,11512
696,-10,11523
697,-10,11534
698,-10,11547
699,-10,11558
700,-10,11576
701,-10,11587
702,100,11591
703,100,11595
704,-10,11603
705,100,11607
706,100,11624
707,100,11630
708,100,11635
709,-10,11642
710,-10,11654
711,-10,11662
712,100,11666
713,-10,11688
714,-10,11693
715,-10,11702
716,-10,11708
717,-10,11715
718,-10,11724
719,-10,11757
720,100,11770
721,-10,11779
722,-10,11814
723,-10,11829
724,-10,11843
725,100,11857
726,-10,11871
727,-10,11890
728,-10,11902
729,100,11906
730,100,11910
731,100,11933
732,-10,11945
733,100,11963
734,100,11971
735,100,11975
736,-10,12011
737,100,12025
738,-10,12031
739,100,12034
740,100,12049
741,100,12052
742,100,12055
743,-10,12072
744,-10,12078
745,-10,12098
746,-10,12106
747,-10,12135
748,-10,12158
749,-10,12171
750,-10,12190
751,-10,12204
752,100,12210
753,100,12230
754,100,12240
755,-10,12254
756,100,12258
757,100,12267
758,100,12273
759,100,12277
760,-10,12304
761,100,12318
762,-10,12325
763,-10,12342
764,-10,12350
765,-10,12386
766,100,12398
767,100,12416
768,-10,12439
769,100,12443
770,-10,12454
771,100,12457
772,-10,12482
773,100,12485
774,100,12489
775,100,12492
776,100,12498
777,100,12502
778,100,12505
779,-10,12517
780,100,12521
781,-10,12533
782,100,12551
783,-10,12557
784,-10,12565
785,-10,12574
